Site,Date,NDVI,SAVI,ET_PT_ICOS (mm/h),ET_PT_ERA5 (mm/h),ET_TTME_ICOS (mm/h)
Lonzee,2022-04-17,0.8159062787344906,0.5731853198717642,0.43592578753363814,0.2211269857391177,0.3596
Lonzee,2022-04-24,0.8418902435776567,0.611457847079122,0.48646137473363554,0.3001951428395111,0.2677
Lonzee,2022-05-03,0.8664526090824496,0.6425884636968952,0.5580552227576465,0.2276213665373879,0.2602
Lonzee,2022-05-18,0.8929915183980615,0.6493358614222562,0.6441538023291681,0.12820938456473177,0.3307
Lonzee,2022-06-11,0.9083607554467337,0.6680102354197517,0.6879265713890457,0.1863353052572961,0.4073
Lonzee,2022-07-13,0.4509670315562862,0.34034859773381654,0.21235375022497763,0.14715937112129807,0.2576
Lonzee,2022-07-29,0.26265992635586344,0.2150438860438974,0.19654417917659428,0.2416105090888241,0.0
Lonzee,2022-08-06,0.24449473337722183,0.20118499458288186,0.21315772261700608,0.20726120516140858,0.0
Lonzee,2022-08-14,0.23550827647207487,0.19738200720135562,0.052287454499151904,0.041942371865265414,0.2648
Lonzee,2022-10-01,0.20910381963963443,0.12650807288869803,0.27920258514096696,0.24813525622629398,0.2102
Lonzee,2022-11-02,0.5169104791907547,0.3662352155892262,0.16592638462277873,0.14272784773315175,0.2224
Lonzee,2022-11-10,0.66307395468403,0.4592276699564798,0.15908387432414356,0.13748392181533667,0.28
Lonzee,2022-12-12,0.1751153934141649,0.07115828384570802,0.1320368064938064,0.05125856575745226,0.1836
Lonzee,2023-02-07,0.20535541186264777,0.093888496873338,0.22595765265065085,0.08062646661507404,0.2159
Lonzee,2023-02-14,0.19738988580750425,0.0893455013912504,0.19724681476269595,0.18059017954898163,0.2042
Lonzee,2023-04-03,0.16815831897270545,0.09745399987113515,0.30949814734859765,0.19867565690682398,0.3224
Lonzee,2023-04-04,0.16210932824805102,0.09367594035576288,0.24279434329221672,0.17424220101154891,0.3111
Lonzee,2023-06-06,0.31795051401965424,0.23492728767290103,0.3732328844372488,0.40332821400841845,0.0
Lonzee,2023-06-07,0.3530784334183844,0.27180458264979784,0.3345858187758846,0.37328220777859644,0.0
