Site,Date,ET_pure_ICOS,ET_LST_Landsat,ET_Groupe_ERA5
Voulundgaard,2022-10-10,0.2006397188715863,0.1079071824965869,0.11113420097321837
Voulundgaard,2022-10-11,0.2755417532767332,0.012534155790760717,0.06475001401070857
Voulundgaard,2022-10-19,0.1832463084154923,0.0,0.054314224971974204
Voulundgaard,2023-03-03,0.0818486962123611,0.0,0.09852023770673254
Voulundgaard,2023-04-20,0.0711120714795852,0.0,0.0041898007802661594
Voulundgaard,2023-04-21,0.0660154896470444,0.0,0.06344945534982659
Voulundgaard,2023-05-30,0.1254749362563472,0.0320521573206957,0.0
Voulundgaard,2023-05-31,0.0,0.0,0.0
Voulundgaard,2023-06-07,0.2949223606101366,0.0,0.20643684777408497
Voulundgaard,2023-06-08,0.1872812679657633,0.028439863206755196,0.10182195104565758
Voulundgaard,2023-07-09,0.513439774376941,0.4136119737097549,0.39359931830018374
Voulundgaard,2023-09-04,0.2802290295440511,0.05261733133528477,0.1651840674760104
Voulundgaard,2023-10-14,0.1082385695399427,0.0,0.22478174925328195
Klingenberg,2022-03-12,0.2920994230927491,0.0,0.09411339166001581
Klingenberg,2022-03-20,0.1178050925625684,0.11977436438507268,0.20601210338829903
Klingenberg,2022-04-22,0.1470546642990301,0.04257257798133885,0.18732949560671958
Klingenberg,2022-05-07,0.1156956783893802,0.04930702509552848,0.0
Klingenberg,2022-07-19,0.3647191230314344,0.22043295337185068,0.30334994195652515
Klingenberg,2022-11-15,0.1595892052054364,0.0878420218952507,0.0
Klingenberg,2022-12-25,0.091068265721687,0.0,0.0
Klingenberg,2023-05-19,0.3005245445312768,0.1859046336043848,0.0
Klingenberg,2023-05-27,0.3533363720995761,0.15827904298940446,0.38179929808522733
Klingenberg,2023-06-03,0.2634278219330456,0.0923383838087177,0.3677403873996729
Klingenberg,2023-06-11,0.5149936867145164,0.2598175668443546,0.47824258260835456
Klingenberg,2023-08-14,0.3968585771083732,0.020932680596505146,0.29506674257299276
Klingenberg,2023-08-15,0.3018001809801239,0.029162978679690005,0.23155920551256462
Klingenberg,2023-09-07,0.2177132554400227,0.1917472191708742,0.15423208370867938
Klingenberg,2023-09-15,0.0941859676751613,0.0,0.20751097525521883
Klingenberg,2023-09-16,0.1101760511579077,0.016793586711024048,0.12058471257639149
Klingenberg,2023-10-01,0.0,0.0,0.13760961238711414
Estrees-Mons,2022-02-11,0.1761575937146461,0.0,0.08173417658842189
Estrees-Mons,2022-02-26,0.2455136687002622,0.034265124661915,0.18732870810083072
Estrees-Mons,2022-03-06,0.2214625331045601,0.0,0.10447741567630743
Estrees-Mons,2022-03-22,0.2285886080552154,0.0,0.17658307191877404
Estrees-Mons,2022-03-23,0.2355005104405677,0.0,0.1441908219504022
Estrees-Mons,2022-04-15,0.4620838336228597,0.2505232629629833,0.39530334361487984
Estrees-Mons,2022-04-24,0.3924016799239563,0.0,0.08459679926378763
Estrees-Mons,2022-05-09,0.2598170561679421,0.0,0.16407946908241222
Estrees-Mons,2022-05-17,0.4554778425425094,0.0,0.3403522628820208
Estrees-Mons,2022-05-18,0.4479100324041699,0.02407036110267462,0.34984888254842744
Estrees-Mons,2022-06-02,0.4621391504120901,0.0,0.2076976048023133
Estrees-Mons,2022-06-11,0.3886287846584357,0.0,0.0
Estrees-Mons,2022-06-18,0.4084725926972041,0.11618768345725361,0.18800207519668105
Estrees-Mons,2022-07-04,0.5703782861904511,0.005872092449312809,0.3027243942891512
Estrees-Mons,2022-07-05,0.5290984015784177,0.0,0.455001421230641
Estrees-Mons,2022-07-12,0.3428927588929871,0.26986902915558275,0.22989660956248084
Estrees-Mons,2022-07-13,0.3679700665054174,0.07033875124904766,0.19885096637176836
Estrees-Mons,2022-07-29,0.2322090483127014,0.0,0.12319023950514293
Estrees-Mons,2022-08-05,0.3494891449098796,0.06007079933370814,0.11587682724630356
Estrees-Mons,2022-08-06,0.1512071680872073,0.0,0.12283392852018896
Estrees-Mons,2022-08-29,0.1136408459129356,0.0,0.0
Estrees-Mons,2022-08-30,0.1836968502788541,0.0,0.07155169134038601
Estrees-Mons,2022-09-30,0.3482624816808822,0.023460606067761677,0.26679378222476363
Estrees-Mons,2022-10-08,0.3486615278956931,0.04875848783947983,0.23104629216654893
Estrees-Mons,2022-10-24,0.247939786491394,0.0,0.22986280116825394
Estrees-Mons,2022-11-01,0.0305020355951997,0.0,0.0
Estrees-Mons,2022-11-02,0.1570840301267276,0.0,0.029694326438611997
