Site,Date,ET_pure_ICOS,ET_Ta_ERA5,ET_LST_Landsat,ET_u_ERA5,ET_Rn_ERA5
Estrees-Mons,2022-11-01,0.0305020355951997,0.0,0.0,0.0,0.0
Estrees-Mons,2022-11-02,0.1570840301267276,0.0,0.0,0.0,0.0
Estrees-Mons,2022-11-10,0.0998742638633846,0.008735051385187388,0.0,0.0,0.0
Estrees-Mons,2022-11-25,0.1109267134210323,0.03459216716258196,0.0,0.0,0.0
Estrees-Mons,2022-11-26,0.086706689828156,0.0,0.0,0.0,0.0
Estrees-Mons,2023-02-14,0.1272109068105215,0.0,0.0,0.0,0.0
Estrees-Mons,2023-03-01,0.0938931808689043,0.0,0.0,0.0,0.0
Estrees-Mons,2023-03-18,0.277609633357978,0.04528692116317836,0.0,0.0,0.0
Estrees-Mons,2023-04-03,0.2433036100702952,0.016037251358517298,0.0,0.007874930418144351,0.0
Estrees-Mons,2023-04-18,0.384619673299016,0.32744496933234235,0.0,0.2118163811706856,0.14368244435995092
Estrees-Mons,2023-05-04,0.4760309944751137,0.46259129266408927,0.07562034947685965,0.33159766970234256,0.3004564386172041
Estrees-Mons,2023-05-13,0.6154934024953228,0.4365340862886,0.12451297577698242,0.28161778822025085,0.3368624414994223
Estrees-Mons,2023-05-20,0.5928158154270818,0.4029066474886652,0.10893545847097079,0.3412502419278141,0.3958240137192813
Estrees-Mons,2023-05-28,0.3960451187518276,0.1991801729504263,0.0,0.2469779498893087,0.16503623929400618
Estrees-Mons,2023-05-29,0.3013595279142941,0.1674855304432843,0.0,0.08113381828594729,0.13471080957017229
Estrees-Mons,2023-06-05,0.3831147210950818,0.21322586034472166,0.0,0.09230264114191257,0.14786122895351703
Estrees-Mons,2023-06-06,0.3253816863955855,0.1710206096748943,0.0,0.0,0.006441259017034428
Estrees-Mons,2023-06-13,0.5641168200637228,0.39698930182205167,0.0,0.3212439052468204,0.2822856218506379
Estrees-Mons,2023-06-14,0.546890298552883,0.3820567202092257,0.011029981070752037,0.2881611541591453,0.3222597528179498
Estrees-Mons,2023-07-15,0.3376795920396982,0.0,0.0,0.0,0.05226060127527637
Estrees-Mons,2023-08-09,0.6052673883959914,0.32858319385364293,0.016310243151993174,0.28029991605226234,0.11662340601366723
Estrees-Mons,2023-09-02,0.3803617867036713,0.14469879549536932,0.09152983140542378,0.1167879302964978,0.16105543474782197
Estrees-Mons,2023-09-09,0.3257997501696719,0.09617865426215623,0.0,0.11623136624069103,0.11850687173217775
Estrees-Mons,2023-09-10,0.3883814892269995,0.142302684866407,0.0,0.14464606235839356,0.16905521790270583
Estrees-Mons,2023-09-18,0.3239352562588764,0.17476541169780235,0.0,0.1267069049596327,0.06658333227904563
Estrees-Mons,2023-09-25,0.3466677775055167,0.14129757162272286,0.0,0.042659412770983646,0.1914491048313254
Estrees-Mons,2023-09-26,0.3386526622008122,0.22115336867277055,0.0,0.08253307544658008,0.17668916325178538
Estrees-Mons,2023-10-03,0.3005875747533136,0.014892354613465693,0.0,0.05032229071236608,0.02421461663567494
Estrees-Mons,2023-12-31,0.047304428041019,0.0,0.03666746121444313,0.0,0.0
Borgo Cioffi,2023-05-22,0.5153715705956522,0.0,0.0,0.3332901866447459,0.0
Borgo Cioffi,2023-05-30,0.1118764629848206,0.0,0.0,0.0592547598509899,0.0
Borgo Cioffi,2023-06-23,0.0,0.0,0.0,0.08774258072033529,0.0
Borgo Cioffi,2023-07-09,0.6877590287681339,0.0,0.0,0.6726263437583875,0.0
Borgo Cioffi,2023-07-17,0.7137879883280148,0.0,0.0,0.6118884149686066,0.0
Borgo Cioffi,2023-07-25,0.6953120338775507,0.0,0.0,0.522572373793417,0.0
Borgo Cioffi,2023-08-10,0.6288813859661869,0.0,0.0,0.5282032480131983,0.0
Borgo Cioffi,2023-08-18,0.6028557762926581,0.0,0.0,0.5323931474536008,0.0
Borgo Cioffi,2023-08-26,0.6273600743150297,0.0,0.0,0.5034003179799883,0.0
Borgo Cioffi,2023-09-03,0.4340846100285562,0.0,0.0,0.3366950473934934,0.0
Borgo Cioffi,2023-09-11,0.1545445056728676,0.0,0.0,0.09734290404490624,0.0
Borgo Cioffi,2023-09-27,0.2001104964686363,0.0,0.0,0.15708254433094765,0.0
Borgo Cioffi,2023-10-05,0.0810778243113099,0.0,0.0,0.022484927183618664,0.0
Borgo Cioffi,2023-10-29,0.141194122948323,0.0,0.0,0.05654693790864373,0.0
Borgo Cioffi,2023-11-06,0.0,0.0,0.0,0.010740979279167947,0.0
Borgo Cioffi,2023-11-22,0.0140635705341352,0.0,0.0,0.0,0.0
Borgo Cioffi,2023-12-08,0.0463629646724751,0.0,0.0,0.0,0.0
Borgo Cioffi,2023-12-16,0.2819293215303192,0.0,0.0,0.0,0.0
Grignon,2022-01-01,0.1701861954198564,0.0,0.0,0.0,0.0
Grignon,2022-02-09,0.3201829471438732,0.0,0.0,0.0,0.0
Grignon,2022-02-25,0.3910763578584509,0.07810161463912355,0.0,0.0,0.0
Grignon,2022-02-26,0.3516808121998373,0.11700417225739465,0.0,0.0,0.028918344805333604
Grignon,2022-03-06,0.3186150314798143,0.0,0.0,0.0,0.0
Grignon,2022-03-21,0.6165213544190025,0.16871640659589532,0.0,0.0,0.08464061616372123
Grignon,2022-03-22,0.517957269977278,0.2709512107234609,0.18710875580127712,0.14016798110413645,0.20528636746489623
Grignon,2022-04-14,0.7719154413992969,0.38539722569240153,0.14176323183941025,0.20976752326874423,0.17542777572039578
